name,duration_ms,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
Don't Cry (Original),283733,4,0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,audio_features,2N2yrmodOnVF10mKvItC9P,spotify:track:2N2yrmodOnVF10mKvItC9P,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P,https://api.spotify.com/v1/audio-analysis/2N2yrmodOnVF10mKvItC9P,4
Here I Go Again,308800,6,0.213,0.634,4,-12.967,0,0.0596,0.369,0.00199,0.359,0.354,174.443,audio_features,29pzjF6ZkzcW3ofgOVbF0t,spotify:track:29pzjF6ZkzcW3ofgOVbF0t,https://api.spotify.com/v1/tracks/29pzjF6ZkzcW3ofgOVbF0t,https://api.spotify.com/v1/audio-analysis/29pzjF6ZkzcW3ofgOVbF0t,4
Don't Let The Sun Go Down On Me - Live At Wembley Arena / 1991,347467,15,0.441,0.562,0,-9.053,1,0.0323,0.385,3.61e-05,0.793,0.259,137.163,audio_features,2KZJJ1rhRVmXM4lwW4OLo9,spotify:track:2KZJJ1rhRVmXM4lwW4OLo9,https://api.spotify.com/v1/tracks/2KZJJ1rhRVmXM4lwW4OLo9,https://api.spotify.com/v1/audio-analysis/2KZJJ1rhRVmXM4lwW4OLo9,4
(You Want To) Make A Memory,277413,9,0.497,0.444,0,-7.155,1,0.0264,0.105,0.0002,0.11,0.149,147.916,audio_features,2hgYX65FK5uSe1BWQfHH7a,spotify:track:2hgYX65FK5uSe1BWQfHH7a,https://api.spotify.com/v1/tracks/2hgYX65FK5uSe1BWQfHH7a,https://api.spotify.com/v1/audio-analysis/2hgYX65FK5uSe1BWQfHH7a,4
Free Fallin',256000,1,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,4
Never Going Back Again - 2004 Remaster,134400,3,0.654,0.336,6,-12.825,1,0.0379,0.858,0.385,0.0786,0.947,176.083,audio_features,19Shlms2uTnOjIUg50TXzd,spotify:track:19Shlms2uTnOjIUg50TXzd,https://api.spotify.com/v1/tracks/19Shlms2uTnOjIUg50TXzd,https://api.spotify.com/v1/audio-analysis/19Shlms2uTnOjIUg50TXzd,4
Rhiannon,252773,4,0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,audio_features,05oETzWbd4SI33qK2gbJfR,spotify:track:05oETzWbd4SI33qK2gbJfR,https://api.spotify.com/v1/tracks/05oETzWbd4SI33qK2gbJfR,https://api.spotify.com/v1/audio-analysis/05oETzWbd4SI33qK2gbJfR,4
Lay Your Hands On Me,358760,1,0.259,0.912,2,-5.665,1,0.0728,0.0268,1.98e-06,0.241,0.283,99.738,audio_features,4oNktvBDV8PNZqZh6MgwZ3,spotify:track:4oNktvBDV8PNZqZh6MgwZ3,https://api.spotify.com/v1/tracks/4oNktvBDV8PNZqZh6MgwZ3,https://api.spotify.com/v1/audio-analysis/4oNktvBDV8PNZqZh6MgwZ3,4
Something - Remastered 2009,182293,2,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522,audio_features,0pNeVovbiZHkulpGeOx1Gj,spotify:track:0pNeVovbiZHkulpGeOx1Gj,https://api.spotify.com/v1/tracks/0pNeVovbiZHkulpGeOx1Gj,https://api.spotify.com/v1/audio-analysis/0pNeVovbiZHkulpGeOx1Gj,4
Octopus's Garden - Remastered 2009,170720,5,0.626,0.512,1,-9.15,0,0.0247,0.155,4.65e-05,0.215,0.73,92.225,audio_features,0suLngfo7rJoetk7Ub6N8l,spotify:track:0suLngfo7rJoetk7Ub6N8l,https://api.spotify.com/v1/tracks/0suLngfo7rJoetk7Ub6N8l,https://api.spotify.com/v1/audio-analysis/0suLngfo7rJoetk7Ub6N8l,4
You Never Give Me Your Money - Remastered 2009,242973,9,0.335,0.416,0,-11.051,1,0.0348,0.345,0.136,0.116,0.223,174.464,audio_features,1jOLTO379yIu9aMnCkpMQl,spotify:track:1jOLTO379yIu9aMnCkpMQl,https://api.spotify.com/v1/tracks/1jOLTO379yIu9aMnCkpMQl,https://api.spotify.com/v1/audio-analysis/1jOLTO379yIu9aMnCkpMQl,3
Candle In The Wind - Remastered 2014,228933,2,0.602,0.536,4,-9.74,1,0.0288,0.183,1.9e-05,0.0802,0.506,124.558,audio_features,1L9fzw2pXprOqtemTwtxXF,spotify:track:1L9fzw2pXprOqtemTwtxXF,https://api.spotify.com/v1/tracks/1L9fzw2pXprOqtemTwtxXF,https://api.spotify.com/v1/audio-analysis/1L9fzw2pXprOqtemTwtxXF,4
The Tide Is High - Edit,233893,1,0.778,0.667,11,-7.273,1,0.0258,0.0514,0.0312,0.092,0.964,96.954,audio_features,165NAtd2DRPKNQ6EVY0VG9,spotify:track:165NAtd2DRPKNQ6EVY0VG9,https://api.spotify.com/v1/tracks/165NAtd2DRPKNQ6EVY0VG9,https://api.spotify.com/v1/audio-analysis/165NAtd2DRPKNQ6EVY0VG9,4
Leather and Lace - 2016 Remaster,225573,8,0.49,0.432,3,-9.327,1,0.0298,0.639,0.0,0.104,0.367,153.753,audio_features,7kXM2obnaUVl014k00cdhF,spotify:track:7kXM2obnaUVl014k00cdhF,https://api.spotify.com/v1/tracks/7kXM2obnaUVl014k00cdhF,https://api.spotify.com/v1/audio-analysis/7kXM2obnaUVl014k00cdhF,4
I Want To Break Free - Remastered 2011,258013,2,0.795,0.433,4,-8.927,1,0.0324,0.0853,0.000284,0.0762,0.6,108.947,audio_features,7h2yhVxcZOGyQdOwD4Hu8J,spotify:track:7h2yhVxcZOGyQdOwD4Hu8J,https://api.spotify.com/v1/tracks/7h2yhVxcZOGyQdOwD4Hu8J,https://api.spotify.com/v1/audio-analysis/7h2yhVxcZOGyQdOwD4Hu8J,4
What It Takes,311773,6,0.498,0.793,5,-4.197,1,0.0315,0.0335,0.0,0.35,0.46,142.409,audio_features,1a6VLZ3BplAosOWmCcFDAW,spotify:track:1a6VLZ3BplAosOWmCcFDAW,https://api.spotify.com/v1/tracks/1a6VLZ3BplAosOWmCcFDAW,https://api.spotify.com/v1/audio-analysis/1a6VLZ3BplAosOWmCcFDAW,4
Brown Eyed Girl,183307,1,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,audio_features,3yrSvpt2l1xhsV9Em88Pul,spotify:track:3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/tracks/3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/audio-analysis/3yrSvpt2l1xhsV9Em88Pul,4
I Guess That's Why They Call It The Blues,285333,5,0.673,0.663,0,-7.29,1,0.0269,0.217,0.017,0.177,0.671,120.634,audio_features,23l1kVpqMVREiwU1YAlcr4,spotify:track:23l1kVpqMVREiwU1YAlcr4,https://api.spotify.com/v1/tracks/23l1kVpqMVREiwU1YAlcr4,https://api.spotify.com/v1/audio-analysis/23l1kVpqMVREiwU1YAlcr4,3
Life in the Fast Lane - 2013 Remaster,286220,3,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,audio_features,6gXrEUzibufX9xYPk3HD5p,spotify:track:6gXrEUzibufX9xYPk3HD5p,https://api.spotify.com/v1/tracks/6gXrEUzibufX9xYPk3HD5p,https://api.spotify.com/v1/audio-analysis/6gXrEUzibufX9xYPk3HD5p,4
All for Love,281200,15,0.51,0.44,2,-11.015,1,0.0293,0.125,0.0,0.0994,0.135,74.8,audio_features,4lsEHglVsLzILTDQ3CNESV,spotify:track:4lsEHglVsLzILTDQ3CNESV,https://api.spotify.com/v1/tracks/4lsEHglVsLzILTDQ3CNESV,https://api.spotify.com/v1/audio-analysis/4lsEHglVsLzILTDQ3CNESV,4
Gypsy,264907,6,0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,audio_features,19Ym5Sg0YyOCa6ao21bdoG,spotify:track:19Ym5Sg0YyOCa6ao21bdoG,https://api.spotify.com/v1/tracks/19Ym5Sg0YyOCa6ao21bdoG,https://api.spotify.com/v1/audio-analysis/19Ym5Sg0YyOCa6ao21bdoG,4
Red Red Wine,183733,5,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,audio_features,4uOKFydzAejjSFqYbv1XPt,spotify:track:4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/tracks/4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,4
Can't Help Falling in Love,182360,5,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,audio_features,44AyOl4qVkzS48vBsbNXaC,spotify:track:44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/tracks/44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/audio-analysis/44AyOl4qVkzS48vBsbNXaC,3
Jailhouse Rock,146480,5,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,audio_features,4gphxUgq0JSFv2BCLhNDiE,spotify:track:4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/tracks/4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/audio-analysis/4gphxUgq0JSFv2BCLhNDiE,4
Hound Dog,136027,1,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,audio_features,64Ny7djQ6rNJspquof2KoX,spotify:track:64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/tracks/64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/audio-analysis/64Ny7djQ6rNJspquof2KoX,4
