name,duration_ms,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
Can't Fight This Feeling,294773,6,0.408,0.48,9,-11.017,1,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,audio_features,5WwqdeavrQrbeAMDxGawse,spotify:track:5WwqdeavrQrbeAMDxGawse,https://api.spotify.com/v1/tracks/5WwqdeavrQrbeAMDxGawse,https://api.spotify.com/v1/audio-analysis/5WwqdeavrQrbeAMDxGawse,4
Bette Davis Eyes,228000,1,0.675,0.649,5,-10.271,1,0.0319,0.0204,0.0,0.0959,0.596,116.624,audio_features,0odIT9B9BvOCnXfS0e4lB5,spotify:track:0odIT9B9BvOCnXfS0e4lB5,https://api.spotify.com/v1/tracks/0odIT9B9BvOCnXfS0e4lB5,https://api.spotify.com/v1/audio-analysis/0odIT9B9BvOCnXfS0e4lB5,4
Boys Don't Cry,154667,3,0.463,0.597,11,-13.515,0,0.0637,0.0178,0.0,0.177,0.735,169.67,audio_features,1YQCRXscu8xE74BVVMUCRr,spotify:track:1YQCRXscu8xE74BVVMUCRr,https://api.spotify.com/v1/tracks/1YQCRXscu8xE74BVVMUCRr,https://api.spotify.com/v1/audio-analysis/1YQCRXscu8xE74BVVMUCRr,4
It's My Life - 1997 Remaster,232400,4,0.627,0.802,0,-8.432,1,0.0348,0.197,0.784,0.404,0.867,126.283,audio_features,4jhsuQCUCJKA5f0bXb6XdJ,spotify:track:4jhsuQCUCJKA5f0bXb6XdJ,https://api.spotify.com/v1/tracks/4jhsuQCUCJKA5f0bXb6XdJ,https://api.spotify.com/v1/audio-analysis/4jhsuQCUCJKA5f0bXb6XdJ,4
Start Me Up - Remastered 2009,213067,1,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,audio_features,7HKez549fwJQDzx3zLjHKC,spotify:track:7HKez549fwJQDzx3zLjHKC,https://api.spotify.com/v1/tracks/7HKez549fwJQDzx3zLjHKC,https://api.spotify.com/v1/audio-analysis/7HKez549fwJQDzx3zLjHKC,4
Walk Of Life,249960,3,0.461,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.435,audio_features,4tyl9OMKMG8F2L0RUYQMH3,spotify:track:4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/tracks/4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/audio-analysis/4tyl9OMKMG8F2L0RUYQMH3,4
The Power Of Love,234333,3,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,audio_features,2olVm1lHicpveMAo4AUDRB,spotify:track:2olVm1lHicpveMAo4AUDRB,https://api.spotify.com/v1/tracks/2olVm1lHicpveMAo4AUDRB,https://api.spotify.com/v1/audio-analysis/2olVm1lHicpveMAo4AUDRB,4
Call Me,212600,4,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,audio_features,4qO03RMQm88DdpTJcxlglY,spotify:track:4qO03RMQm88DdpTJcxlglY,https://api.spotify.com/v1/tracks/4qO03RMQm88DdpTJcxlglY,https://api.spotify.com/v1/audio-analysis/4qO03RMQm88DdpTJcxlglY,4
Rock the Casbah - Remastered,222427,4,0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885,audio_features,56KqaFSGTb7ifpt16t5Y1N,spotify:track:56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/tracks/56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/audio-analysis/56KqaFSGTb7ifpt16t5Y1N,4
In The Air Tonight - 2015 Remastered,336453,1,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,audio_features,18AXbzPzBS8Y3AkgSxzJPb,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/audio-analysis/18AXbzPzBS8Y3AkgSxzJPb,4
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",257360,80,0.683,0.284,0,-15.207,0,0.0314,0.333,0.0,0.0608,0.207,120.233,audio_features,1cx2NcSnJYdr3kvHWmX7fF,spotify:track:1cx2NcSnJYdr3kvHWmX7fF,https://api.spotify.com/v1/tracks/1cx2NcSnJYdr3kvHWmX7fF,https://api.spotify.com/v1/audio-analysis/1cx2NcSnJYdr3kvHWmX7fF,4
All Right,253653,6,0.711,0.647,6,-5.225,0,0.0353,0.17,0.0,0.234,0.504,132.752,audio_features,5tE2kEW1Jom3Qc93UPBT79,spotify:track:5tE2kEW1Jom3Qc93UPBT79,https://api.spotify.com/v1/tracks/5tE2kEW1Jom3Qc93UPBT79,https://api.spotify.com/v1/audio-analysis/5tE2kEW1Jom3Qc93UPBT79,4
You're the Inspiration - 2006 Remaster,229240,7,0.583,0.602,11,-6.364,1,0.0274,0.368,0.0,0.22,0.388,74.008,audio_features,36lkJSDyMEZoWTqtRj8Q8q,spotify:track:36lkJSDyMEZoWTqtRj8Q8q,https://api.spotify.com/v1/tracks/36lkJSDyMEZoWTqtRj8Q8q,https://api.spotify.com/v1/audio-analysis/36lkJSDyMEZoWTqtRj8Q8q,4
Every Time You Go Away - Radio Edit,267000,1,0.572,0.721,5,-8.959,1,0.0402,0.187,7.41e-06,0.216,0.844,164.252,audio_features,05fHQeRbCSjKVS6z0WbQKJ,spotify:track:05fHQeRbCSjKVS6z0WbQKJ,https://api.spotify.com/v1/tracks/05fHQeRbCSjKVS6z0WbQKJ,https://api.spotify.com/v1/audio-analysis/05fHQeRbCSjKVS6z0WbQKJ,4
Valerie,246667,1,0.722,0.518,9,-10.78,1,0.0296,0.593,0.00453,0.0854,0.753,116.289,audio_features,3nQuDlaVZApyrG6tdsETe0,spotify:track:3nQuDlaVZApyrG6tdsETe0,https://api.spotify.com/v1/tracks/3nQuDlaVZApyrG6tdsETe0,https://api.spotify.com/v1/audio-analysis/3nQuDlaVZApyrG6tdsETe0,4
Wherever I Lay My Hat (That's My Home),250053,3,0.63,0.514,10,-8.005,1,0.0521,0.247,0.0,0.0989,0.477,89.128,audio_features,04N18CfIbOJPnVLGOKgJNB,spotify:track:04N18CfIbOJPnVLGOKgJNB,https://api.spotify.com/v1/tracks/04N18CfIbOJPnVLGOKgJNB,https://api.spotify.com/v1/audio-analysis/04N18CfIbOJPnVLGOKgJNB,4
